entity_id,entity_name,legal_name,sector,sub_sector,parent_organization,property_manager,address_line_1,city,state,zip_code,latitude,longitude,asset_status,verification_source,last_updated
OSM-IMP-00334,Bon Secours Hospital Limerick,Bon Secours Hospital Limerick,Healthcare,Hospital,Bon Secours Health System,Unknown,Needs Verification,Limerick,,V949D36,52.6524534,-8.5777588,Active,OpenStreetMap,2025-11-24
OSM-IMP-00335,Queen's University Sport,Queen's University Sport,Education,University,Unknown,Unknown,Needs Verification,,,,54.5803896,-5.9303244,Active,OpenStreetMap,2025-11-24
OSM-IMP-00336,St Mary's Hospital,St Mary's Hospital,Healthcare,Hospital,Health Service Executive,Unknown,Dublin Road,Drogheda,,,53.7119364,-6.3405926,Active,OpenStreetMap,2025-11-24
OSM-IMP-00339,UCC Centre for Executive Education,UCC Centre for Executive Education,Education,University,Unknown,Unknown,1 Lapp's Quay,Cork,,T12 VF82,51.8981705,-8.466728,Active,OpenStreetMap,2025-11-24
OSM-IMP-00340,Belmullet Community Hospital,Belmullet Community Hospital,Healthcare,Hospital,Health Service Executive,Unknown,Needs Verification,,,,54.2285155,-9.9859214,Active,OpenStreetMap,2025-11-24
OSM-IMP-00342,MTU Gallery at 46 Grand Parade,MTU Gallery at 46 Grand Parade,Education,University,MTU Crawford College of Art and Design,Unknown,Needs Verification,,,,51.8959665,-8.4750283,Active,OpenStreetMap,2025-11-24
OSM-IMP-00343,Mercy University Hospital Centre of Nurse Education,Mercy University Hospital Centre of Nurse Education,Education,University,Unknown,Unknown,Needs Verification,,,,51.8999738,-8.4812228,Active,OpenStreetMap,2025-11-24
OSM-IMP-00344,Limerick Surgical Hub,Limerick Surgical Hub,Healthcare,Hospital,Unknown,Unknown,Needs Verification,,,,52.6514896,-8.6369408,Active,OpenStreetMap,2025-11-24
OSM-IMP-00346,UPMC Kildare Hospital,UPMC Kildare Hospital,Healthcare,Hospital,Unknown,Unknown,Needs Verification,,,,53.2895752,-6.7007584,Active,OpenStreetMap,2025-11-24
OSM-IMP-00347,Saint Dympna's Hospital,Saint Dympna's Hospital,Healthcare,Hospital,Unknown,Unknown,Athy Road,Carlow,,,52.8430556,-6.9284226,Active,OpenStreetMap,2025-11-24
OSM-IMP-00348,Atlantic Technological University Sligo,Atlantic Technological University Sligo,Education,University,Atlantic Technological University,Unknown,Ash Lane,Sligo,,F91 YW50,54.2789004,-8.4611939,Active,OpenStreetMap,2025-11-24
